pmid,human_wd,species,L1_cu_primary_s,L1_cu_primary_f,L2_secondary_iron_s,L2_secondary_iron_f,L3_cp_ferroxidase_s,L3_cp_ferroxidase_f,L4_iron_ferroptosis_s,L4_iron_ferroptosis_f,L5_wd_ferroptosis_s,L5_wd_ferroptosis_f,L6_cu_fe_crosstalk_s,L6_cu_fe_crosstalk_f,year,journal,title,doi,first_author
10064850,True,human/rat-model,NONE,,NONE,,NONE,,NONE,,NONE,,MENTION,WD patients show increased etheno-DNA adducts from metal-induced oxidative stress and lipid peroxidation; involves both copper and iron.,1999,"{'title': 'Mutation research', 'iso_abbreviation': 'Mutat Res'}",Etheno DNA-base adducts from endogenous reactive species.,10.1016/s0027-5107(99)00008-1,Nair
10503961,False,rat-model,MENTION,LEC rat accumulates excess Cu in liver as in Wilson's disease patients; spontaneous hepatitis occurs.,STRONG,Fe increases in LEC rat liver; hepatic Fe concentration 160% higher in Fe(+) vs Fe(-) diet group.,NONE,,PARTIAL,Fe increases oxidative stress; xanthine oxidase activity rises with Fe-induced adenine nucleotide decomposition.,NONE,,PARTIAL,Both Cu and Fe accumulate in LEC liver; Fe modifies hepatitis severity; correlation between hepatic Fe and energy charge.,1999,"{'title': 'Life sciences', 'iso_abbreviation': 'Life Sci'}","Iron depletion prevents adenine nucleotide decomposition and an increase of xanthine oxidase activity in the liver of the Long Evans Cinnamon (LEC) rat, an animal model of Wilson's disease.",10.1016/s0024-3205(99)00378-1,Sugawara
10697391,False,review,NONE,,NONE,,PARTIAL,Hephaestin is a multicopper oxidase required for efficient iron export from intestine.,NONE,,NONE,,MENTION,Copper deficiency impairs mammalian iron metabolism; hephaestin identifies copper–iron connection.,2000,"{'title': 'Nutrition reviews', 'iso_abbreviation': 'Nutr Rev'}",Discovery of the ceruloplasmin homologue hephaestin: new insight into the copper/iron connection.,10.1111/j.1753-4887.2000.tb01821.x,Eisenstein
11050162,True,human,MENTION,WD characterized by excess hepatic copper deposition; produces oxidative stress and increases liver cancer risk.,NONE,,NONE,,PARTIAL,High etheno-DNA adducts from oxyradical-induced lipid peroxidation in WD liver; 4-hydroxynonenal causes p53 mutations.,NONE,,MENTION,Both iron overload (hemochromatosis) and copper overload (WD) generate oxygen/nitrogen species and aldehydes; parallel oxyradical damage.,2000,"{'title': 'Proceedings of the National Academy of Sciences of the United States of America', 'iso_abbreviation': 'Proc Natl Acad Sci U S A'}",Increased p53 mutation load in nontumorous human liver of wilson disease and hemochromatosis: oxyradical overload diseases.,10.1073/pnas.220416097,Hussain
11090950,True,human,NONE,,NONE,,NONE,,MENTION,Lipid peroxidation products (trans-4-hydroxy-2-nonenal) generate exocyclic DNA adducts; elevated in WD patients with oxidative stress.,MENTION,Elevated epsilon-adducts (LPO markers) detected in hepatic DNA from WD patients; indicates oxidative stress and cancer risk.,NONE,,2000,"{'title': 'Toxicology', 'iso_abbreviation': 'Toxicology'}",Ultrasensitive and specific detection methods for exocylic DNA adducts: markers for lipid peroxidation and oxidative stress.,10.1016/s0300-483x(00)00307-3,Bartsch
11104206,False,human,NONE,,NONE,,NONE,,NONE,,NONE,,NONE,,2000,"{'title': 'Movement disorders : official journal of the Movement Disorder Society', 'iso_abbreviation': 'Mov Disord'}",Clinical report of three patients with hereditary hemochromatosis and movement disorders.,10.1002/1531-8257(200011)15:6<1204::aid-mds1021>3.0.co;2-t,Demarquay
11721763,True,human,MENTION,High pretreatment hepatic copper confirmed in four WD patients; copper decreased after penicillamine treatment.,STRONG,"Nonheme iron in liver increased during penicillamine treatment; histochemical iron positive in 2/4 pretreatment, 4/4 post-treatment specimens.",STRONG,Low serum ceruloplasmin (<20 mg/dL) and low ferroxidase activity; iron overload attributed to impaired ceruloplasmin ferroxidase function.,NONE,,NONE,,MENTION,Iron accumulation occurs in WD patients with copper toxicosis and low ceruloplasmin; temporal co-occurrence during copper-chelating treatment.,2001,"{'title': 'The American journal of gastroenterology', 'iso_abbreviation': 'Am J Gastroenterol'}",Iron accumulation in the liver of male patients with Wilson's disease.,10.1111/j.1572-0241.2001.05269.x,Shiono
12459093,False,NA,NONE,,NONE,,NONE,,NONE,,NONE,,NONE,,2002,"{'title': 'Revista clinica espanola', 'iso_abbreviation': 'Rev Clin Esp'}","[Ceruloplasmine and iron metabolism: their implications in hemochromatosis, Wilson's disease and aceruloplasminemia].",10.1016/s0014-2565(02)71172-7,P&#xe9;rez-Aguilar
12547227,False,mouse,NONE,,NONE,,PARTIAL,Hephaestin has ferroxidase activity; homologous to ceruloplasmin; conserves copper-binding residues.,NONE,,NONE,,MENTION,"Hephaestin: copper-containing, ferroxidase-active protein involved in iron export; links copper and iron handling.",2002,"{'title': 'Blood cells, molecules & diseases', 'iso_abbreviation': 'Blood Cells Mol Dis'}",The ceruloplasmin homolog hephaestin and the control of intestinal iron absorption.,10.1006/bcmd.2002.0576,Anderson
12921533,False,yeast,NONE,,NONE,,PARTIAL,Hephaestin demonstrates ferroxidase activity; functions in endocytic pathway for iron export via copper-dependent multicopper oxidase mechanism.,NONE,,NONE,,MENTION,"Hephaestin requires copper loading (CCC2, GEF1 genes) to function in iron transport; demonstrates copper–iron functional coupling.",2003,"{'title': 'The Biochemical journal', 'iso_abbreviation': 'Biochem J'}",Functional studies of hephaestin in yeast: evidence for multicopper oxidase activity in the endocytic pathway.,10.1042/BJ20030866,Li
