link,support,pmid,year,first_author,journal,human_wd,species,finding,doi,title
L1_cu_primary,STRONG,15516801,2004,Hayashi,"{'title': 'Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan', 'iso_abbreviation': 'Yakugaku Zasshi'}",True,human,"ATP7B defect causes impaired biliary copper secretion; copper accumulates in liver causing chronic hepatitis, cirrhosis, fatty metamorphosis.",10.1248/yakushi.124.711,[Wilson's disease and its pharmacological treatment].
L1_cu_primary,STRONG,16940238,2006,Nagasaka,"{'title': 'Pediatric research', 'iso_abbreviation': 'Pediatr Res'}",True,human,Excess hepatic copper generates free radicals; decreased antioxidant enzyme activities in affected patients correlate with liver damage severity.,10.1203/01.pdr.0000238341.12229.d3,Relationship between oxidative stress and antioxidant systems in the liver of patients with Wilson disease: hepatic manifestation in Wilson disease as a consequence of augmented oxidative stress.
L1_cu_primary,STRONG,19571474,2009,Nagasaka,"{'title': 'The Journal of toxicological sciences', 'iso_abbreviation': 'J Toxicol Sci'}",True,human,Excess hepatic copper generates free radicals; copper-derived oxidants contribute to liver disease development and progression.,10.2131/jts.34.sp229,Children's toxicology from bench to bed--Liver Injury (3): Oxidative stress and anti-oxidant systems in liver of patients with Wilson disease.
L1_cu_primary,STRONG,22572525,2012,Liggi,"{'title': 'Clinics and research in hepatology and gastroenterology', 'iso_abbreviation': 'Clin Res Hepatol Gastroenterol'}",True,human,WD patients show hepatic copper accumulation (753±65.3 mcg/g vs 54.5±16.9 in controls); higher copper correlates with steatosis severity (r=0.87).,10.1016/j.clinre.2012.03.038,The relationship between copper and steatosis in Wilson's disease.
L2_secondary_iron,STRONG,11721763,2001,Shiono,"{'title': 'The American journal of gastroenterology', 'iso_abbreviation': 'Am J Gastroenterol'}",True,human,"Nonheme iron in liver increased during penicillamine treatment; histochemical iron positive in 2/4 pretreatment, 4/4 post-treatment specimens.",10.1111/j.1572-0241.2001.05269.x,Iron accumulation in the liver of male patients with Wilson's disease.
L2_secondary_iron,STRONG,32937238,2020,Gromadzka,"{'title': 'Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS)', 'iso_abbreviation': 'J Trace Elem Med Biol'}",True,human,"WD patients show sex-dependent differences in iron metabolism: men have significantly higher serum ferritin, iron concentration, hemoglobin, RBC counts than women.",10.1016/j.jtemb.2020.126637,Difference in iron metabolism may partly explain sex-related variability in the manifestation of Wilson's disease.
L2_secondary_iron,STRONG,33555495,2021,Gromadzka,"{'title': 'Biometals : an international journal on the role of metal ions in biology, biochemistry, and medicine', 'iso_abbreviation': 'Biometals'}",True,human,"Untreated WD patients had elevated serum iron (126.0 vs 103.5 µg/dL, p<0.05) and ferritin (158.9 vs 47.5 ng/mL, p<0.001) versus controls.",10.1007/s10534-021-00289-x,Iron metabolism is disturbed and anti-copper treatment improves but does not normalize iron metabolism in Wilson's disease.
L2_secondary_iron,STRONG,39733327,2024,Day,"{'title': 'Journal of gastrointestinal and liver diseases : JGLD', 'iso_abbreviation': 'J Gastrointestin Liver Dis'}",True,human,8% of WD patients (13/197) aged ≥13 had hepatic iron index >1.0 indicating secondary iron overload; iron detected in liver tissues with elevated copper.,10.15403/jgld-5662,Iron and Copper Liver Concentrations in Wilson Disease.
L3_cp_ferroxidase,STRONG,11721763,2001,Shiono,"{'title': 'The American journal of gastroenterology', 'iso_abbreviation': 'Am J Gastroenterol'}",True,human,Low serum ceruloplasmin (<20 mg/dL) and low ferroxidase activity; iron overload attributed to impaired ceruloplasmin ferroxidase function.,10.1111/j.1572-0241.2001.05269.x,Iron accumulation in the liver of male patients with Wilson's disease.
L3_cp_ferroxidase,STRONG,41273307,2025,Zhou,"{'title': 'Free radical research', 'iso_abbreviation': 'Free Radic Res'}",True,"rat-model, HepG2 cell, human (observational for iron link)","Copper overload disrupts ceruloplasmin-ferroportin iron transport system, leading to increased iron levels and impaired iron efflux.",10.1080/10715762.2025.2593446,Melatonin inhibits liver ferroptosis in copper-laden rats: a potential therapy mechanism underlying Wilson's disease.
