disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
Wilms_Tumor,WT1 Inactivation,MOLECULAR,3,CELLULAR,,Split into: (1) WT1 gene inactivation / loss-of-function mutation event (MOLECULAR state); (2) Downstream failure of nephron progenitor cell differentiation due to WT1 loss (CELLULAR process),"The node's substrate is the WT1 gene and protein (MOLECULAR), but the description conflates the mutation event with its cell-developmental consequences in metanephric mesenchyme cells, making it a bundle of MOLECULAR cause and CELLULAR effect."
Wilms_Tumor,WTX (AMER1) Inactivation,MOLECULAR,4,,,,"The substrate is the WTX/AMER1 gene and protein within the beta-catenin destruction complex; the node describes a molecular state (gene inactivated, pathway constituent lost) with one clear downstream consequence named separately."
Wilms_Tumor,CTNNB1 Activating Mutation,MOLECULAR,4,CELLULAR,,Split into: (1) CTNNB1 exon 3 activating mutation stabilizing beta-catenin protein (MOLECULAR state); (2) Consequences in nephrogenic zone cells driving proliferation and blocking differentiation (CELLULAR process),"Primary substrate is the CTNNB1 gene and beta-catenin protein (MOLECULAR), but the description bundles the mutation event with its cell-level effects on nephrogenic zone cells, warranting a split."
Wilms_Tumor,Canonical Wnt Signaling Hyperactivation,CELLULAR,4,MOLECULAR,,,"Wnt/beta-catenin signaling operates as an intracellular cascade within nephrogenic zone cells; the node describes sustained aberrant signaling state within a cell type, placing it at CELLULAR scale rather than purely MOLECULAR."
Wilms_Tumor,Blocked Nephron Differentiation,CELLULAR,4,TISSUE,,,"The substrate is a cell-level process—blastemal cells retaining proliferative capacity and failing terminal differentiation—occurring within nephrogenic rests; the tissue lesion (nephrogenic rest) is context, not the primary claim."
Wilms_Tumor,IGF2 Loss of Imprinting,MOLECULAR,4,CELLULAR,,Split into: (1) Epigenetic loss of imprinting at 11p15 locus leading to biallelic IGF2 expression (MOLECULAR state); (2) IGF2 overexpression driving proliferation of embryonic renal cells (CELLULAR/downstream process),"Primary substrate is the epigenetic/imprinting state at the IGF2 locus (MOLECULAR), but the description bundles the epigenetic alteration with its growth-promoting consequence on embryonic renal cells, making it an etiology-plus-consequence bundle."
Wilms_Tumor,MicroRNA Processing Defect,MOLECULAR,3,CELLULAR,,Split into: (1) DROSHA/DICER1 mutation causing disrupted miRNA biogenesis (MOLECULAR state); (2) Derepression of target genes reinforcing self-renewing mesenchymal state in blastemal cells (CELLULAR process),"The substrate spans two scales: the miRNA processing machinery is MOLECULAR, but the consequence—reinforcing a self-renewing mesenchymal cellular state—is CELLULAR; the description explicitly describes both the molecular defect and its cell-state outcome."
Wilms_Tumor,Nephron Progenitor Self-Renewal,CELLULAR,4,MOLECULAR,,,"SIX1/SIX2 hotspot mutations reinforce a transcriptional program that maintains nephron progenitor cells in an embryonal proliferative state; the central claim is a cellular state (cell type locked in self-renewal) mediated by transcription factor activity."
Wilms_Tumor,Persistent Blastemal Progenitor State,CELLULAR,4,TISSUE,,,"The node describes a maintained aberrant cellular state—embryonal blastemal cells with high proliferative capacity and failed differentiation—across two cell types; despite listing two cell types, both participate in the same shared mechanistic claim (retained progenitor identity), so no split is warranted."
Wilms_Tumor,Wilms Tumor Outgrowth,TISSUE,4,CELLULAR,,,"Persisting progenitors expanding into overt nephroblastoma—a renal mass with blastemal/epithelial/stromal elements—is a tissue-scale state (the tumor lesion exists as an anatomical entity within the kidney)."
Wilms_Tumor,TP53-Deficient Anaplastic Progression,MOLECULAR,3,CELLULAR,,Split into: (1) TP53 dysfunction / loss (MOLECULAR state: gene inactivated; apoptosis and DNA repair impaired at molecular level); (2) Progression to aggressive anaplastic cellular phenotype with treatment resistance (CELLULAR/TISSUE consequence),"The node bundles a MOLECULAR event (TP53 loss disrupting apoptosis and DNA repair pathways) with its downstream consequence (anaplastic progression toward an aggressive treatment-resistant state), fitting the etiology-bundled-with-consequence pattern."
