disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
Parkinsons_Disease,Dopaminergic Neuron Loss,CELLULAR,5,,,,"Progressive degeneration of a specific cell type (dopaminergic neurons) in the substantia nigra; the substrate is unambiguously the cell."
Parkinsons_Disease,Striatal Dopamine Deficiency,MOLECULAR,4,TISSUE,,,"The defining deficit is depletion of a specific neurotransmitter molecule (dopamine) at synaptic terminals; location is tissue but the substrate driving the node description is the molecule."
Parkinsons_Disease,Basal Ganglia Circuit Dysfunction,TISSUE,5,,,,"Disrupted balance of the basal ganglia-thalamocortical circuit spanning multiple nuclei; the substrate is the anatomical circuit/tissue, not a single cell or molecule."
Parkinsons_Disease,Alpha-Synuclein Aggregation,MOLECULAR,5,,,,"Misfolding and aggregation of a specific protein (alpha-synuclein) into oligomers and Lewy bodies; the substrate is the molecule and its supramolecular complexes."
Parkinsons_Disease,Mitochondrial Dysfunction,CELLULAR,5,,,,"Impaired mitochondrial function and organelle quality control within neurons; the substrate is the cell (and its organelles), consistent with the spec's subcellular-disruption guidance."
Parkinsons_Disease,Neuroinflammation,TISSUE,4,CELLULAR,,,"Activated microglia and astrocytes release cytokines across brain tissue regions; while individual cells are involved, the node describes a tissue-level inflammatory state spanning the CNS parenchyma."
Parkinsons_Disease,"Complement C3-C3aR Activation in Depression",MOLECULAR,4,CELLULAR,,,"The node centers on a specific molecular signaling axis (C3-C3aR) and its downstream phosphorylation cascades (p-STAT3, p-P65); second choice CELLULAR because the effector readout is microglial synaptic engulfment."
Parkinsons_Disease,Autophagy-Lysosome Pathway Dysfunction,CELLULAR,5,,,,"Impaired intracellular degradation pathway (autophagy/lysosomal clearance) within neurons; the substrate is the cell and its degradative organelles."
Parkinsons_Disease,Gut Microbiome Dysbiosis,ORGANISM,5,,,,"The gut microbiome is a whole-organism-scale ecological community state; per spec, a dysbiotic microbiome configuration is explicitly an ORGANISM-scale state."
Parkinsons_Disease,Intestinal Inflammation and Barrier Dysfunction,TISSUE,5,,,,"Elevated inflammatory markers and compromised tight junctions across the intestinal wall tissue; the substrate is the organ/tissue, not individual cells or molecules."
Parkinsons_Disease,Enteric Alpha-Synuclein Seeding,MOLECULAR,4,CELLULAR,,,"The initiating event is conformational change and seeding of alpha-synuclein protein in enteric neurons; the molecular substrate (misfolded alpha-syn seed) drives the node, though enteric neurons are the cellular host."
Parkinsons_Disease,Vagal-Brainstem Alpha-Synuclein Propagation,TISSUE,4,MOLECULAR,,,"Trans-anatomical spread of pathologic alpha-synuclein from gut through vagus nerve to brainstem nuclei; the defining feature is propagation across anatomical tissue structures, not a single-cell or single-molecule event."
Parkinsons_Disease,Central Alpha-Synuclein Initiation,MOLECULAR,4,TISSUE,,,"The initiating event is alpha-synuclein misfolding and inclusion body assembly within olfactory bulb/amygdala neurons; molecular substrate is primary, though location is tissue-named."
Parkinsons_Disease,Oxidative Stress,CELLULAR,4,MOLECULAR,,,"Excessive ROS generation causing lipid peroxidation, protein carbonylation, and DNA damage within dopaminergic neurons; while ROS are molecules, the node describes a cellular state of oxidative damage and the cellular response to it."
Parkinsons_Disease,Calcium Dysregulation,CELLULAR,4,MOLECULAR,,,"Disrupted calcium homeostasis across mitochondria, ER, and lysosomes within neurons; predominantly an intracellular/organellar process making the cell the primary substrate, with ion transport being the molecular mechanism."
Parkinsons_Disease,Endoplasmic Reticulum Stress,CELLULAR,5,,,,"ER stress and unfolded protein response are canonical intracellular/organellar processes; the substrate is the cell and its ER, per spec subcellular structural disruption guidance."
Parkinsons_Disease,Synaptic Dysfunction,CELLULAR,5,,,,"Impaired synaptic vesicle recycling and clathrin-mediated endocytosis at the presynaptic terminal; the substrate is the cell (and its synaptic compartment)."
Parkinsons_Disease,Iron Accumulation and Ferroptosis,CELLULAR,4,MOLECULAR,,,"Iron-dependent ferroptosis is a cell death modality driven by lipid peroxidation within the cell; while iron is a molecular substrate, the defining process (ferroptosis) is cellular, making CELLULAR primary."
Parkinsons_Disease,Blood-Brain Barrier Dysfunction,TISSUE,5,,,,"Disruption of tight junctions, transporter function, and barrier integrity across the neurovascular unit; the substrate is an anatomical structure (the blood-brain barrier as a tissue-level interface)."
Parkinsons_Disease,Metabolic Dysfunction and Weight Loss,ORGANISM,5,,,,"Multi-system metabolic dysregulation involving neuroendocrine signaling, GI dysfunction, and dopaminergic feeding circuits converging on whole-body weight trajectory; the substrate is the whole organism."
