disorder,node_name,primary_kind,confidence,second_choice_kind,proposes_new_kind,split_suggestion,reasoning
Parkinsons_Disease,Dopaminergic Neuron Loss,TISSUE_PROCESS,4,CELLULAR_PROCESS,,,"Progressive degeneration of a specific neuronal population within a discrete anatomical structure (substantia nigra pars compacta) is best captured as a tissue-level pathological process, though the cell-type specificity pulls toward CELLULAR_PROCESS."
Parkinsons_Disease,Striatal Dopamine Deficiency,TISSUE_PROCESS,3,CELLULAR_PROCESS,,,"Loss of dopaminergic terminal input to the striatum produces a tissue-level neurochemical deficit (depleted dopamine in a defined anatomical region), though the mechanism also implicates cell-intrinsic signaling at medium spiny neurons."
Parkinsons_Disease,Basal Ganglia Circuit Dysfunction,TISSUE_PROCESS,4,ORGANISM_PROCESS,,,"Aberrant activity imbalance across the basal ganglia-thalamocortical motor circuit is a multi-structure tissue/organ-network-level process that generates motor signs, fitting TISSUE_PROCESS despite spanning several anatomical nuclei."
Parkinsons_Disease,Alpha-Synuclein Aggregation,CELLULAR_PROCESS,4,MOLECULAR_ACTIVITY,,,"Intracellular misfolding and inclusion body assembly of alpha-synuclein with prion-like trans-neuronal spread is primarily a cell-level process (inclusion body assembly GO term), though the molecular misfolding event itself borders MOLECULAR_ACTIVITY."
Parkinsons_Disease,Mitochondrial Dysfunction,CELLULAR_PROCESS,4,MOLECULAR_ACTIVITY,,,"Impaired mitochondrial complex I function and quality control (PINK1/Parkin pathway) are cell-intrinsic processes operating at the organelle level within neurons, fitting CELLULAR_PROCESS; the complex I inhibition angle pulls toward MOLECULAR_ACTIVITY."
Parkinsons_Disease,Neuroinflammation,TISSUE_PROCESS,5,,,,Activated microglia and astrocytes releasing pro-inflammatory cytokines in neural tissue constitutes a classical tissue-level inflammatory process in the brain.
Parkinsons_Disease,Complement C3-C3aR Activation in Depression,MOLECULAR_ACTIVITY,3,CELLULAR_PROCESS,,"Split into: (1) Complement C3-C3aR signaling cascade activation (MOLECULAR_ACTIVITY) and (2) Microglial synaptic engulfment in hippocampus (CELLULAR_PROCESS).","The node mixes a defined molecular signaling cascade (C3-C3aR-p-STAT3/p-P65) with a cellular process (microglial synapse phagocytosis) and a tissue-level outcome (hippocampal synaptic loss leading to depression); the molecular axis is the explicit mechanistic focus but the node bundles multiple scales."
Parkinsons_Disease,Autophagy-Lysosome Pathway Dysfunction,CELLULAR_PROCESS,5,,,,Impaired intracellular protein degradation via the autophagy-lysosomal pathway is a canonical cell-intrinsic process occurring within dopaminergic neurons.
Parkinsons_Disease,Gut Microbiome Dysbiosis,ORGANISM_PROCESS,3,TISSUE_PROCESS,,"Split into: (1) Gut microbiome compositional shift (ORGANISM_PROCESS — systemic/ecological) and (2) Intestinal epithelial milieu changes (TISSUE_PROCESS).","Gut microbiome composition is a whole-organism/ecological state that does not reduce cleanly to a tissue or molecular scale; it fits ORGANISM_PROCESS as a systemic microbial state, though its downstream effects are tissue-level."
Parkinsons_Disease,Intestinal Inflammation and Barrier Dysfunction,TISSUE_PROCESS,4,CELLULAR_PROCESS,,"Split into: (1) Intestinal mucosal inflammation (TISSUE_PROCESS) and (2) Tight junction/barrier permeability dysfunction (CELLULAR_PROCESS).","Elevated calprotectin/zonulin markers and inflammatory changes in gut mucosa are tissue-level pathological processes, though tight junction dysfunction has a cellular-process component."
Parkinsons_Disease,Enteric Alpha-Synuclein Seeding,CELLULAR_PROCESS,3,TISSUE_PROCESS,,,"Misfolded alpha-synuclein seeding and inclusion body assembly in enteric neurons is primarily a cell-intrinsic process (GO: inclusion body assembly), though the anatomical specificity (enteric nervous system tissue) and the propagation-initiation framing give TISSUE_PROCESS a real claim."
Parkinsons_Disease,Vagal-Brainstem Alpha-Synuclein Propagation,TISSUE_PROCESS,4,ORGANISM_PROCESS,,,"Trans-neuronal propagation of pathologic alpha-synuclein along anatomical conduits (vagus nerve to brainstem nuclei) is a process defined by its anatomical route and multi-structure spread, fitting TISSUE_PROCESS; the multi-organ trajectory toward ORGANISM_PROCESS is real but the mechanism is structurally localized."
Parkinsons_Disease,Central Alpha-Synuclein Initiation,CELLULAR_PROCESS,3,TISSUE_PROCESS,,,"Alpha-synuclein inclusion body assembly initiating within specific central neurons (olfactory bulb/amygdala) is cell-intrinsic, but the anatomical framing (defined CNS sites as origins) and multi-region spread concept pull toward TISSUE_PROCESS."
Parkinsons_Disease,Oxidative Stress,CELLULAR_PROCESS,4,MOLECULAR_ACTIVITY,,,"Excessive ROS generation from dopamine auto-oxidation and mitochondrial dysfunction causing intracellular macromolecular damage (lipid peroxidation, protein carbonylation, DNA damage) is primarily a cell-level process within dopaminergic neurons, though the specific chemical reactions border MOLECULAR_ACTIVITY."
Parkinsons_Disease,Calcium Dysregulation,CELLULAR_PROCESS,4,MOLECULAR_ACTIVITY,,,"Disrupted calcium homeostasis across mitochondria, ER, and lysosomes driven by L-type channel autonomous pacemaking activity is a cell-intrinsic organelle coordination process, with the ion transport mechanism bordering MOLECULAR_ACTIVITY."
Parkinsons_Disease,Endoplasmic Reticulum Stress,CELLULAR_PROCESS,5,,,,Unfolded protein response activation and ER protein quality control failure within neurons is a textbook cell-intrinsic process with dedicated GO terms (response to ER stress; ER UPR).
Parkinsons_Disease,Synaptic Dysfunction,CELLULAR_PROCESS,5,,,,Defective synaptic vesicle recycling and clathrin-mediated endocytosis failure within presynaptic dopaminergic terminals is a canonical cellular process (synaptic vesicle cycle GO term) operating at the single-cell level.
Parkinsons_Disease,Iron Accumulation and Ferroptosis,CELLULAR_PROCESS,3,MOLECULAR_ACTIVITY,,"Split into: (1) Iron accumulation and dysregulated iron homeostasis (CELLULAR_PROCESS — intracellular iron ion homeostasis) and (2) Ferroptosis execution (CELLULAR_PROCESS — ferroptosis GO term, but mechanistically driven by Fenton chemistry = MOLECULAR_ACTIVITY).","The node bundles an iron-homeostasis failure state with a distinct cell-death execution mechanism (ferroptosis/lipid peroxidation); both pieces are cellular-scale but the Fenton reaction chemistry pulls toward MOLECULAR_ACTIVITY."
Parkinsons_Disease,Blood-Brain Barrier Dysfunction,TISSUE_PROCESS,4,CELLULAR_PROCESS,,,"Compromise of tight junction proteins and transporter function at the blood-brain interface with consequent peripheral immune cell infiltration is a vascular/barrier tissue-level process, though the endothelial cell-intrinsic tight junction changes border CELLULAR_PROCESS."
Parkinsons_Disease,Metabolic Dysfunction and Weight Loss,ORGANISM_PROCESS,3,TISSUE_PROCESS,,"Split into: (1) Central neuroendocrine/hypothalamic metabolic dysregulation (TISSUE_PROCESS) and (2) Systemic weight loss and nutritional decline (ORGANISM_PROCESS).","The node describes a whole-body metabolic and nutritional failure driven by multiple interacting mechanisms (neuroendocrine, GI, dopaminergic, cognitive) that together produce systemic weight loss — a classic ORGANISM_PROCESS — but the bundling of upstream organ-specific drivers warrants a split."
